Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Cd S  
     -4.99000      0.00000      0.00000      0.00000
     -4.98000      0.00000      0.00000      0.00000
     -4.97000      0.00000      0.00000      0.00000
     -4.96000      0.00000      0.00000      0.00000
     -4.95000      0.00000      0.00000      0.00000
     -4.94000      0.00000      0.00000      0.00000
     -4.93000      0.00000      0.00000      0.00000
     -4.92000      0.00000      0.00000      0.00000
     -4.91000      0.00000      0.00000      0.00000
     -4.90000      0.00000      0.00000      0.00000
     -4.89000      0.00000      0.00000      0.00000
     -4.88000      0.00000      0.00000      0.00000
     -4.87000      0.00000      0.00000      0.00000
     -4.86000      0.00000      0.00000      0.00000
     -4.85000      0.00000      0.00000      0.00000
     -4.84000      0.00000      0.00000      0.00000
     -4.83000      0.00000      0.00000      0.00000
     -4.82000      0.00000      0.00000      0.00000
     -4.81000      0.00000      0.00000      0.00000
     -4.80000      0.00000      0.00000      0.00000
     -4.79000      0.00000      0.00000      0.00000
     -4.78000      0.00000      0.00000      0.00000
     -4.77000      0.00000      0.00000      0.00000
     -4.76000      0.00000      0.00000      0.00000
     -4.75000      0.00000      0.00000      0.00000
     -4.74000      0.00000      0.00000      0.00000
     -4.73000      0.00000      0.00000      0.00000
     -4.72000      0.00000      0.00000      0.00000
     -4.71000      0.00000      0.00000      0.00000
     -4.70000      0.00000      0.00000      0.00000
     -4.69000      0.00000      0.00000      0.00000
     -4.68000      0.00000      0.00000      0.00000
     -4.67000      0.00000      0.00000      0.00000
     -4.66000      0.00000      0.00000      0.00000
     -4.65000      0.00000      0.00000      0.00000
     -4.64000      0.00000      0.00000      0.00000
     -4.63000      0.00000      0.00000      0.00000
     -4.62000      0.00000      0.00000      0.00000
     -4.61000      0.00000      0.00000      0.00000
     -4.60000      0.00000      0.00000      0.00000
     -4.59000      0.00000      0.00000      0.00000
     -4.58000      0.00000      0.00000      0.00000
     -4.57000      0.00000      0.00000      0.00000
     -4.56000      0.00000      0.00000      0.00000
     -4.55000      0.00000      0.00000      0.00000
     -4.54000      0.00000      0.00000      0.00000
     -4.53000      0.00000      0.00000      0.00000
     -4.52000      0.00000      0.00000      0.00000
     -4.51000      0.00000      0.00000      0.00000
     -4.50000      0.00000      0.00000      0.00000
     -4.49000      0.00000      0.00000      0.00000
     -4.48000      0.00000      0.00000      0.00000
